block_type,start,end,duration,segments,speaker_count,speakers,text
DJ,2618.54,2713.86,95.32,15,1,SPEAKER_04,어 말투가 완전 우리 아빠 말투 이보라 언니 우리 충청도 아버님 너무 귀여우셔요. 너무 귀여우셔요. 너무 사랑스럽고요. 성진모님 어르신 진짜 밥 먹다가 큰 웃음 주셔서 감사. 아유 맞아요. 그러니까요. 이영은님 저희 충청도 충주 출신 아빠가 생각이 납니다. 영은님 우리는 오늘부터 8391님을 라디오 국장님으로 모시기로 했어요. 딱 이 부분만 잘라가지고 우리 나중에 스팟 같은 거에 나가도 너무 좋지 않아요 우리 또 여태까지 함께하는 우리 DJ들에게 특히나 명수 선배에 대한 사랑이 어마어마하신 것 같아요 명수 선배의 라디오의 감상평을 위트가 있고 철학이 있다 그만의 철학이 있다 라는 또 이야기 주셨습니다 이소라님 말투가 너무 따수워요 덕분에 힐링이에요 충청도 국장님 주선희님 아 언니 어르신들이랑 쿵짝이 맞는 거 너무 웃겨 나는 전화 연결할 때마다 어르신분들이랑도 쿵짝이 맞지만 우리 예전에 한번 어린이 친구랑 전화 연결했는데 제가 야 학교 가기 싫지 않냐고 이랬던 적 있잖아요 그걸 지금도 생각하면서 또 웃는다니까요 아 진짜 빵 터졌습니다 윤상훈님 듣는 사람 기분 좋게 만들어주는 목소리 국장님. 오늘부터 8391님을 국장님으로 모시기로 우리 청취자분들 함께 박수로 환영해 주십시오. 아시겠죠? 8391님의 신청곡입니다.
AD,2714.43,2871.55,157.12,6,2,"SPEAKER_07,SPEAKER_13",싸이의 챔피언 진정 즐길 줄 아는 여러분이 이 나라의 챔피언입니다. 파도의 축제 서로 평가를 의지 않는 것이 숙제 소리 못 질르는 사람 오늘 술래 따가지 빙글빙글 강강술래 술래 함성이 터져 메아리 퍼져 파도 타고 모두에게 퍼져 커져 아름다운 젊음이 갈라져 있던 닭덩어리 자막 제공 배달의민족 전경과 흑색 서로 대립했었지만 나인 같애 고로 열광하고 싶은 마음 같애 오늘부로 힘을 모아 합세 하나로 합체 모두 힘을 길러 젊음을 질러 자유로운 외침이 저기 높은 하늘 찔러 자막 제공 배달의민족 크게 뛰어 올라 더 높게 내일 걱정은 내일모레 모두 눈 비춰보게 둥글게 둥글게 돌고 도는 몰래 바다 인생 한방인데 바람 따라 구름 따라 선벽을 치면서 노래를 하면서 주먹을 쫙 들고 하늘로
DJ,2901.92,3064.97,163.05,25,1,SPEAKER_04,싸이 챔피언 듣고 왔습니다. 여러분은 이은지의 가요광장 함께하고 계시고요. 저는 텐디 이은지입니다. 커피 주문해 주신 분들 사연 만나볼게요. 1128님 임산부 친구와 호캉스 가고 있습니다. 저도 7개월 아기를 남편에게 맡기고 나왔어요. 자유부인들을 위해 커피 두 잔 부탁해요. 아니 이게 사실 태교 여행 뭐 그런 게 있더라고요 이게 사실 아기를 낳고 또 육아하고 키우고 하다 보면 오히려 놀 시간이 없어서 미리미리 여행 가는 거다 해가지고 태교 여행 같은 그런 또 이벤트를 많이 많이 하시더라고요 1128님 오늘 아주 해피한 시간 보내셨으면 좋겠고 밖에가 날이 추워서 오히려 호캉스 같은 느낌이 또 찰떡으로 잘 맞을 것 같네요 5033님 안녕하세요 딸기농부입니다 경남에서 딸기 농사하고 있습니다 온실 안은 무척 덥네요 커피가 땡겨요 여기서 젊은 농부 5명이서 농사하고 있어요 커피 5잔 부탁드려요 옛날에 텐디 또 그 밭일 하시는 분들 뭐 이렇게 농사하시는 분들 농작물을 키워내고 또 하시는 분들이랑 문자가 많이 왔었어요. 예전에 버섯 농장 하시는 분 그리고 양봉 하시는 분이랑도 전화 연결한 적이 있고요. 뭐 딸기도 한 분 있었던 것 같아요. 귤 귤 하시는 분들도 있었고 이 농부분들이 또 이은지의 가요광장 많이 많이 들어주시더라고요. 사연 감사드리고 오늘도 완전 파이팅입니다. 2448님 은지언니 냉장고에 두고 깜빡한 냉이 손질하면서 듣고 있습니다. 후다 끄내고 커피 한잔하고 싶어요. 냉이 비빔밥도 맛있겠다. 냉이 비빔밥 뭔가 이런 나물 비빔밥도 좋고요. 아니면 된장국 같은데 위에다가 여러분 냉이를 그냥 이렇게 촤르르 올리면 너무 맛있잖아요 아우 기가 막히다 기가 막혀 2448님 점심 맛있게 드시고요 0427님 저는 스마트폰 강사인데요 매번 차량 이동 중으로 신청을 못했는데 오늘은 시간 여유가 있어 처음 커피 한 잔 살짝 신청해 봅니다 오늘은 오후 교육시간이 3시라 가는 동안 커피 한 잔 마시고 싶어요 부탁드려요 아마 어르신분들께 스마트폰을 알려주는 그런 강사일 하시는 것 같고요. 아무래도 했던 이야기를 좀 자주자주 반복해야 되지 않을까. 그게 사실 쉬운 일은 아니거든요. 047님 오늘도 화이팅이고 저희가 커피 한잔 보내드릴게요. 우리 잠깐 광고 듣고 다시 올게요.
AD,3077.19,3190.47,113.28,11,7,"SPEAKER_07,SPEAKER_10,SPEAKER_11,SPEAKER_12,SPEAKER_13,SPEAKER_17,SPEAKER_24",고맙습니다. 고맙습니다. 동공기관 우선구매 대상기업 보료기프트 성인용 기저귀 금비금비 얼쑤 한국에서 만들었네 성인용 기저귀 금비금비 얼쑤 국내 생산 성인용 기저귀 금비 검색창에 금비기저귀를 검색해보세요 국산 성인용 기저귀 금비 최고의 플레이는 최고의 수면에서 베스트 슬립 대표 서진원입니다. 대한민국 축구 국가대표팀의 수면 이제 베스트 슬립이 책임집니다. 우리 선수들이 최고의 플레이를 할 수 있도록 최고의 수면을 선물합니다. 대한민국 축구 국가대표팀 공식 침대 매트리스 베스트 슬립 스마트 AI 가디언스 기술로 완성한 프리미엄 블랙박스의 새로운 기준 AI 블랙박스의 빈틈을 채우다 지속 가능한 미래를 위해 조용히 발걸음을 내딛는 곳이 있습니다 GH경기주택도시공사는 기후위기에 대응하고 탄소중립을 실천하며 친환경과 녹색성장의 가치를 공간에 더합니다. 미래를 위한 공간. GH경기주택도시공사가 함께합니다.
DJ/GUEST,3195.34,3292.51,97.17,9,2,"SPEAKER_04,SPEAKER_09",매일 똑같은 하루 그런 생각은 잠시 접어도 2026년 1.4분기 청주 3화지 가요광장 받아쓰기 다음은 이은지가 가요광장에서 자주 하는 말 중에 하나입니다 잘 듣고 문자로 받아써서 보내주세요 사랑 없인 안 못살아 대추나무 사랑 걸렸네 잘 들으셨나요? 한 번 더 들려드릴게요. 리슨 앤 리핏 사랑 없이 난 못 살아 대추나무 사랑 걸렸네 보내주실 번호 샷8910 짧은 문자 50원 긴 문자와 사진 문자 100원 어플 콩과 KBS 플러스는 무료입니다. 미션에 성공하신 분들 중 총 26분께 선물 보내드립니다. 무엇을? 우유 생크림 딸기 케이크 4개로! 여러분 바다쓰기 미션 많이 많이 참여해주시고요 2부 끝곡입니다 박효신 기프트 들려드리면서 우리는 1시에 다시 만나요 누가 뭐라도 나는 약하지 않다고 눈물로 참 떠날 때
GUEST,3296.68,3417.47,120.79,5,1,SPEAKER_09,모르고 나를 말하는 얘기도 하나 둘 셋 별을 세다가 아침이 온 순간에 눈을 감아 또다시 눈을 뜰 때면 It's gonna be alright 텅 빈 내 맘을 어떻게 채워야 할지 알 수가 없던 날들 내 눈에 보이던 세상이 전부라는 걸 모두 거짓이었어 얼마나 더 가야 하는지 여기가 또 어디쯤인지 고개를 든 순간에 오늘의 하늘을 내게 누군가가 두고 갈 선물 같아 어제보다 더 다
AD,3438.75,3618.89,180.14,33,8,"SPEAKER_00,SPEAKER_03,SPEAKER_10,SPEAKER_15,SPEAKER_16,SPEAKER_17,SPEAKER_19,SPEAKER_25","KBS 스크래프 M 57분 교통정보입니다. 오늘 출근길 다소 혼란스러웠습니다. 서울시내버스가 파업에 들어가면서 버스 운행이 전면 중단됐는데요. 도로에 차가 증가하면서 출근 정체 풀리는 속도도 더뎠습니다. 오후에 접어들면서 소통은 좋아졌는데요. 다만 퇴근길에도 교통 혼잡이 우려됩니다. 서울시에서는 지하철 막차 시간을 종착역 기준 익일 새벽 2시까지 연장했고요. 자체구에서는 지하철 간 무료 셔틀버스를 운행하고 있습니다. 도로 이용에 참고하시기 바랍니다. 동부간선로 성수분기점 방향 성동분기점 지나 1차로에는 추돌사고 나서 일대 정체로 이어집니다. 이어서 서해안고속도로 서울쪽으로는 서서울요금소에 화물차가 고장으로 서있는데요. 1차로 통행 어렵습니다. 경부고속도로 부산방향 오삼보건에 발생한 사고처리가 계속되면서 일대 정체로 이어지고 있고요. 이후 남사진위에서 속도 주춤합니다. KBS 크레프M 57분 교통정보 서후영입니다. 오빠 주말에 아울렛 갈까? 주말엔 차 막힌단 말이오 지하철 타고 가면 되는데 그렇게 가까운 데가 있단 말이오? 유명 브랜드 모두 모여있는 그곳 합리적 가격의 시마리오란 말이오 가산 디지털 단지 마리오 아울렛역에서 만나는 마리오 아울렛 살면서 제가 2시를 기다려본 적이 없는데 하디 덕분에 그래도 매일매일 힘을 얻는 것 같습니다. 하디 이제 곧 52시니까. 2시가 기다려지는 라디오. 안녕하세요 여러분. 항상 유쾌한 텐션으로 하루를 밝혀준 우리 하하. 유쾌한 텐션으로 하루를 밝히는 라디오. 슈퍼라디오 이제부터 더 잘하고 아빠가 영원하면 좋겠어요. 청취자 여러분과 영원히 함께하고 싶은 라디오 KBS 쿨 FM 하하의 슈퍼라디오와 함께해주세요. 1단계, 2단계, KBS가 업그레이드합니다. KBS 플러스, KBS만이 제공 가능한 무료 서비스. 스마트폰에서 즐겨보세요. 40회 실시간 채널, 5만 개의 다시 보기. KBS의 과거, 현재 프로그램을 소환해서 볼 수 있습니다. 지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요."
DJ/GUEST,3625.14,3739.39,114.25,16,2,"SPEAKER_04,SPEAKER_09","이은지의 가요광장 KBS 라디오 이은지의 가요광장 3부 시작했고요. 저는 DJ 이은지입니다. 2부 끝에 가요광장 받아쓰기 진행했는데요. 평소에 텐디가 자주 하는 말이죠. 사랑사랑 누가 말했나 내가 말했지. 사랑없이 난 못살아 대추나무 사랑 걸렸네. 중에서. 취자취자 청취자 김이야님 사랑없이 난 못살아 대충 너무 사랑 걸렸네 방학이라 가요강장 잘 듣고 있어요 재밌어요 아 감사드립니다 이 사랑, 사랑없이 난 못살아가 어떤 연인과의 사랑을 텐데는 이야기하는 것은 아니고요 그냥 인류애가 느껴질 때 너무 좋아요 뭐 요즘 뭐 많은 짤들 있잖아요 편의점에 어떤 분이 이렇게 식사를 하러 오셨는데 의자가 없었어요 그래서 우리 편의점 사장님이 의자를 싹 갖다 주면서 여기서 편하게 드세요 그 정도의 사랑을 보여주었더니 그 식사하신 분이 알고 봤더니 굴삭기 기사님이어서 그 편의점 앞에 있는 눈을 굴삭기로 싹 치워주는 그 짤을 보고 아 역시 사랑 없인 난 못살아 대추 너무 사랑 걸렸네 이렇게 이야기를 했답니다. 7699님 은지님 12시가 맘마타임이라 항상 아기 이유식 먹이면서 잘 듣고 있어요. 신상아 때부터 은지님 목소리 들었는데 이제 돌이 돼요. 전 돌끝맘이 되었네요. 사랑 없이 나무 써라 대추나무 사랑 걸렸네. 아 우리 멋진 아드님 사진도 보내주셨습니다."
DJ/GUEST,3739.41,3907.14,167.73,19,2,"SPEAKER_04,SPEAKER_09",이야 너무 잘생겼는데요 아드님 1살 돌사진 돌상 위에서 찍은 사진 보내줬어요 이렇게 우리 아들 멋지게 한복입고 왕자님처럼 덕하고 앉아있는 사진 보내주셨는데 너무 귀여워 너무 귀여워 사진 너무너무 감사드리고요 7699님 돌끝맘 이어서 기분이 좋으신 것 같은데 이제부터 시작이랍니다. 정말 많은 청취자분들이 이야기 해주시거든요. 돌끝맘 잠시 즐기시고 이제부터 걸어다니기 시작하고 뛰어다니기 시작하면 보통일 아니래요. 육아하시는 내내 오래오래 이은지의 가요광장 들어주시면 너무너무 감사할 것 같습니다 두 분 포함해서 총 26분께 우유 생크림 딸기 케이크 보내드릴게요 당첨자 방송 후에 이은지의 가요광장 홈페이지 공지사항에서 확인해 주셔요 취자들 오늘은요 광장마켓 다이소 준비해놨고요 오늘 주제에 대한 힌트 음성으로 준비되어 있다고 합니다 한번 들어봅니다 일단 혈당 조절에 효과적입니다 왜? 혈당 스파이크 증상 중 하나가 식곤증인데 이 시간에 라디오 듣다 보면 싹 날아가고요 혈액순환도 원활해집니다 DJ 텐션 따라서 웃고 흔들어 제끼다 보면 몸에 피가 싹 도는 느낌이 들어요 여기까지 텐디가요 가요광장의 효능에 대해서 언급했던 부분인데요. 많이 언급했어요. 콜라겐이 나온다. 피부가 좋아진다. 노화에 방지가 된다. 탈모 예방이 된다. 등등등등 텐디가요 가요광장 효능에 대해서 이야기 많이 드렸는데 과연 어떤 주제로 무슨 이야기를 나눌까 조금 있다가 확인해 주세요. 이번 주 광고 소개 게스트 맞춤 송 천일동안 함께해준 청취자분들을 위한 이승환씨의 천일동안 음악 주세요 그 천일동안 알고 있었나요 정오되면 바블로프의 계절은 항상 취자들의 텐션을 위해 최선 다해왔던 나를
AD,3908.99,4056.51,147.52,16,5,"SPEAKER_10,SPEAKER_14,SPEAKER_17,SPEAKER_20,SPEAKER_22","뭐야 뭐야 요즘 피부 비결 뭐야? 세수하고 한 장 쓱 닦고 착 화장 전에 한 장 쓱 닦고 착 쓱 닦고 착 붙이는 메디힐 토너 패드 2024, 2025 올리브영 아워즈 토너 패드 1위 피부 고민 있을 땐 메디힐 토너 패드 글로벌 더마 코스메틱 메디힐 우리의 물을 나누면 더 행복한 오늘이 있고 우리의 기술을 나누면 내일이 더 기대됩니다 다 좋아해요 미라로 행복으로 K-WATER로 이 캠페인은 기후위기 대응을 선도하는 글로벌 물기업 K-WATER 한국수자원공사와 함께합니다. K-WATER로 안녕하세요. 장나라입니다. 살다 보면 갑작스러운 사고나 질병으로 위기에 빠지는 경우가 있습니다. 신안은 사회복지사, 경찰관과 협력해 어려움을 겪는 가정이 일상으로 돌아올 수 있도록 위기가정지원사업을 펼치고 있습니다. 위기의 순간, 신안과 함께. 위채로 소화부 아 이 라디오 광고가 보이는 라디오 광고면 어땠을까요? 스타리아 라운지의 넓은 공간을 담기에 말로는 부족하니까 가족 모두가 편안한 여유로운 공간과 새로워진 편의 사양. 가까운 전시장에서 확인해보세요. 더 뉴스 스타리아 라운지 출시. 땅쓰 땅쓰 땅쓰 땅쓰 땅쓰 부대찌개 참 맛있어요 땅쓰 부대찌개 누구나 쉽고 빠르게 땅쓰 부대찌개 맛있게 끓여요 포장 전문 배달 가능 땅쓰 부대찌개 이 땅 위에 부대찌개 땅쓰 부대찌개 보배 보배 보배 보배 보배 반점 우리 동네 단불 중식 보배"
DJ/GUEST,4064.51,4335.64,271.13,35,2,"SPEAKER_04,SPEAKER_09","고맙습니다. 없는 거 빼고 있을 거 다 있습니다. 광장마켓 다 있어. 취자들 이번 주 토요일 1월 17일이 제가 DJ를 맡은 지 딱 천일이 되는 날이거든요. 그래서 준비한 주제 가요광장이 천일 동안 당신에게 미친 영향 좋아야 될 텐데 좋은 영향이 가야 할 터인데 과연 좋은 영향이 갔을까요? 제가 늘 말씀드리는 가요광장의 효능, 효과 뭐 이런 것들 많이 이야기했잖아요. 진짜 찐으로 여러분에게 미친 영향이 좀 궁금해요. 뭐가 있을까? 예를 들어 가요광장을 같이 들으며 친해진 친구가 있어요. 남편이랑 같이 듣는데요. 와이프랑 같이 듣는데요. 등등등. 말투가 이상하게 텐디랑 닮아졌어요. 뭐 이런 것들 있잖아요. 텐디가 많이 하는 말이 뭐가 있죠? 아르르르르하! 이런 추임새나 그런 것들을 좀 했을 수도 있겠다라는 생각이 들고 DJ를 닮아 시도 때도 없이 노래를 불러 제끼고 싶다든지 아 너무 좋지 아니 혹시라도 노래 부르고 싶은 청취자분들이 있으면 전화 연결해가지고 한바탕 그냥 한 소절 들어보는 것도 좋아요 텐디처럼 이렇게 개사하는 거 좋아하시는 분들이 있을 수도 있고요 가광 들으면서 운동했더니 살이 빠졌다. 그리고 우리 가광 초대석에 나왔던 어떤 게스트분들 사랑에 빠졌다 하실 수도 있잖아요. 왜냐하면 다양한 게스트분들이 나와주시기 때문에 우리 진짜 많은 게스트분들 나오시잖아요. 아이돌뿐만이 아니오라 배우분들. 우리 또 얼마 전에 우리 저기 상 받은 이재씨 아 케데온의 또 케이팝 데모난터스의 또 작곡가 가수 이재씨도 나와줬었고 박천휴 작가님도 놀러주셨고요 토니상 상 받으신 박천휴 작가님도 놀러주셨고 아이돌뿐만이 아니라 어떤 이런 수많은 게스트분들께 입덕하신 계기 뭐 그런게 있으시면 또 텐디한테 또 문자사연 보내주시고요 가요광장을 함께하며 생긴 여러분의 변화, 변동, 움직임, 전환, 기복 많이 많이 보내주세요. 문자 번호 샷8910 짧은 문자 50원 긴 문자와 사진 문자 100원 인터넷 콩과 KBS 플러스는 무료고요. 듣고 싶은 신청곡이 있다면 노래 제목을 같이 써서 보내주십시오. 사연이 궁금해 아우 텐지 난 모르겠어요 나 그냥 노래 하나 하고 싶은데요 하시면요 전화라고 문자 주실래요 그러면 저희가 전화를 걸면 02로 전화를 하겠습니다 그리고 혹시나 아니야 난 전화는 좀 그래 아직은 텐지랑 조금 더 친해지는 중 하시는 분들은 전화 4절 이렇게 또 적어주시면 안 걸어요 해치지 않아요 깨물지 않고요 취자들을 사랑으로 보듬어 드리겠습니다 오늘 광장마켓 선물 청조사 기간답게 정말 빵빵하네요 소개된 이 사연이 소개된 모든 분들께는 일단 저희가 치킨 상품권을 보내드릴 거고요 이 중에 딱 세 분만 추첨해서 저희가 선물로 100만원 상당의 음식물 분쇄 처리기 교환권 리얼리 완전 널 좋아해. 100만원 상당의 음식물 분쇄 처리기 교환권을 보내드릴 거래요. 대박 사건이니까. 여러분 정말 디테일한 정말 다양한 사연들 텐데 기다리고 있겠습니다. 아시겠죠? 우리 청취자분들께 가요광장에 미친 영향에 대해서 사연을 기다리면서 노래부터 듣고 옵니다. 이석훈 그대를 사랑하는 10가지 이유."
DJ/GUEST,4358.35,5129.09,770.74,92,2,"SPEAKER_04,SPEAKER_09","그대 예쁜 목소리로 자장가를 불러줘요 오늘 밤도 그대 내 꿈속에 나와 함께 살아요 아이 같은 그 미소로 나를 보며 웃어주네요 나는 그대라서 첫 번째 그대의 마음 나무처럼 나를 쉬게 해 두 번째 그대의 미소 햇살처럼 나를 밝게 비추고 세 번째 그대의 손길 내가 힘들 때마다 품에 안아줄 내가 슬플 때나 외로워할 때 내 곁을 따스히 지켜주던 그대란 사람 어찌 말을 해야 할까요 네 번째 그대의 온도 내 가슴을 따스하게 다섯째 그대의 눈물 더 열심히 나를 살아가게 해 여섯째 그대의 기도 젖은 어깨를 비게 만들어주 더 이상 눈물은 이제 흘리지 말아요 영원토록 그대를 지킬게요 사랑하는 그댈 보며 바라만 봐도 난 행복해요 여덟째 그대 목소리 내게 힘을 주는 그대이니까 아홉번째 그대의 걸음 못난 날 매일마다 찾아와주네 열번째 그대란 선물 그대라서 난 정말 행복해 이은지의 가요광장 노래 듣고 왔습니다. 이석훈 그대를 사랑하는 10가지 이유. 취재들 1월 17일이요. 청취자분들과 텐디가 만난지 텐디가 디스크 자키를 맡게 된지 천일이 되는 날이라 오늘은 광장맞게 다 있어. 청취자분들과 이제 토크토크하며 노는 시간 보내고 있는데 주제가 가요광장이 깜짝이야 동굴로 들어왔어. 가요광장이 실제로 여러분들께 미치는 영향에 대해서 우리가 이야기 나누고 있습니다. 좋은 영향이어야 될 텐데 그래서 저희가 어쨌든 사연 소개되신 분들께는 치킨 상품권 보내드리고 있고요. 오늘 이 시간 총 3분 뽑아서 100만 원 상당의 음식물 분쇄기 처리기 교환권 이용권 보내드리고 있어요. 그렇기 때문에 여러분 교환권이네요. 만관부 김지현님 좀 밝아졌어요. 친구들이랑 걷다가 갑자기 물들어 불러버리고 좋은 방향 맞겠지요. 맞지요 맞지요 좋은 방향이지요. 그리고 친구들이랑 걷다가 이렇게 또 노래를 부르면 일단 친구들이 좀 창피해할 수 있거든요. 주위에 있는 사람들이 조금 창피해할 수 있지만 그런 것들을 다 견뎌내는 어떤 그런 강인함이 또 장착이 돼요. 물들어 노래 불렀을 때 주위 사람들이 창피해 하겠지만 그 창피함을 견뎌내는 나 멋져 이런 생각을 하실 수가 있고 그리고 이게 접지 능력이 좋아져요. 성대 접지 능력이 좋아지기 때문에 어딜 가서도 갑자기 노래를 시켰을 때 할 수 있고 물들어라는 노래는 여러분 또 우리가 활용할 그런 소재가 많았잖아요. 정말 많았다니까요. 예를 들어서 왁싱샵에 가서도 텐디가 이 노래를 응용을 할 수 있다 왁싱샵에 가서도 안녕하세요 저 겨드랑이 털 제거하러 왔는데요 아 그러세요? 겨드랑이 들어 왁싱 잘 할 수 있도록 겨드랑 들어 왁싱샵 피디님 어디 가셨어요? 웃음 터져서 고개 숙이신 줄 알았어요. 이렇게 겨드랑도 들을 수가 있고 지금 오픈 스튜디오에도 귀여운 강아지가 나타났습니다. 이 강아지도 충분히 물들어를 응용할 수 있어요. 강아지야 강아지야 너 애견 미용하러 왔니? 그래 너의 슬개골 쪽을 내가 미용을 잘 시켜볼게. 우리 강아지 강아지 슬개골들아 이런 식으로 물들어를 응용을 할 수 있고 어디 가서도 이 노래를 부르면 스타가 될 수가 있어요? 어디 소속사 내가 대표야? 스타가 될 수가 있고 이목을 받을 수 있어 좋은 영향이 있다. 지연님 고마워요. 이승윤님 저는 6년 사귀던 여자친구랑 같이 동업을 했거든요. 헤어지고 모든 걸 정리하고 혼자 가게 운영을 하다 보니 너무너무 힘들었습니다. 근데 가요광장 들으면 억지로라도 웃고 이별도 가게 운영의 어려움도 극복했어요 그 시간들을 견디게 극복하게 해주셔서 고마워요 승윤님 텐디한테 또 이렇게 문자사연 보내주셔서 너무너무 감사드리고 힘이 됐으면 좋겠습니다 늘 ENG의 가요광장 많이 들어주셔요 김가인님 가요광장에 사연이 소개됐었는데요 5년간 연락 끊긴 친구가 너야? 하고 연락이 온 적 있어요 친구 사이도 다시 이어주는 가요광장은 사랑을 싫고 우와 대박이다 옛날에 진짜 사랑을 싫고라는 프로그램에서 첫사랑 찾아주기 선생님 찾아주기 이런 사연들이 있었잖아요 근데 우리 가인님이 실제로 지금 그런 사연을 받으신 거예요? 어? 가인님 너무너무 감사드리고 고맙습니다. 박수치고 떠남교님 저는 회사 다닐 때부터 들어서 그런가 가광에서 신나는 노래가 나오다 보니 bpm 180 이상만 찾게 돼요. 좀 잔잔하게 지내고 싶은데 말이죠. 근데 텐디도 이 가요광장에서 워낙 bpm 180, 140 이런 댄스곡 신나는 음악들이 많이 나오다 보니까 평소에 텐디는 약간 잔잔스 요즘에 좀 빠져있어요 또 최근에 너튜브 72시간의 소개팅이라는 컨텐츠를 봤는데 플레이리스트가 장난이 아닌 거예요. 근데 거기 약간 플레이리스트가 다 약간 그런 잔잔 바이브 뭔가 검정치마 이런 느낌 있죠. 이런 느낌이에요. 그래서 가요광장 생방송할 때는 또 댄스곡에 또 심취해 있지만 또 혼자 있는 시간은 약간의 그런 나즈마한 노래 아주 좋아요. 따마 이런 노래. 소울, R&B gear, 리듬앤블루스, 텐디 좋아합니다. 박수친구 떠남규님 아유 사연 감사드리고요. 9137님 언어능력이 퇴화를 언어능력 퇴화를 막아주는 효능이 있습니다. 10개월 육아중이라 맘마 빠빠 엄마 하삐 까까만 말하느라 어른들과 이야기하면 말이 잘 안나왔거든요. 가광들어서 그래도 덜 퇴화한거 같아요. 아이고 다행이네요. 9137님 이게 어쨌든 진짜 이 육아, 육아를 하다 보면 그래도 그냥 이렇게 말통하는 사람들이랑 얘기하는 것만으로도 좋아. 막 이런 마음 들 때가 있거든요. 고유삼칠님, 육아하실 때 이은지의 가요광장 많이 많이 들어줘요. 너무너무 감사할 것 같고요. 1102님. 제가 진짜 귀가 예민하거든요 목소리 데시벨을 좀 높거나 약간 시끄럽다 싶으면 참을 수가 없었어요 근데 가을광장 듣고 우리 텐들을 만나고 나서 달라졌어요 시끄러운 게 좋아요 그냥 나 은지가 좋아요 이렇게 1102님도 적응이 되는 거예요. 이게 적응의 동물이고 텐디가 물론 시끄럽고 노래도 부르고 춤도 추고 별의별 일을 다 하지만 1102님 한번 좀 들어봐요. 약간 감식초 같은 매력이에요. 감식초도 처음에 먹어보면 이게 무슨 말이야? 무슨 맛이야? 이렇게 할 수 있지만 또 먹다 보면 또 함께하다 보면 또 이 맛이 매력을 알 수가 있듯이 1102님 감사해요. 이제는 웬만한 아침에 공사장 소음 소리도 버텨낼 수 있는 그런 달팽이관. 맞나? 달팽이관 맞나? 귀에 있는 거? 달팽이관을 갖게 되실 거예요. 1102님 사연 너무너무 감사드리고요. 김장환님. 그런데 나는 스카스카 배웠음. 추임새 스컬스컬 와이프가 뭐냐고 그래도 스컬스컬 텐디도 사실 스컬스컬 뜻을 모른 채 쓰다가 그때 우리 게스트분 중에 한 분이 또 친절하게 설명을 해주셨었어요 스컬스컬에 대한 자동차 끼익 할 때 뭔가 스컬 약간 이런 느낌 뭔가 힙합 문화의 어떤 추임새 끼익 그런 느낌이라고 또 얘기를 해줬고 자동차가 끼익! 쓰는 소리가 스컬! 이라서 그걸 힙합하는 사람들이 스컬스컬! 이 추임새를 한다는 것을 텐지도 가요광장을 통해서 배웠고 그러고 또 많은 추임새들이 있었죠 스컬스컬도 있고 끄르르르 뭐 이런 것도 있고 뭐 이런 것도 있고 이렇게 시끄러운데 우리 아무튼 이런 걸 다 1102님이 감내하셨다라는 거죠? 그렇다면 1102님께 음식물 분쇄 처리기 교환권을 드립니다. 고생하셨어요. 1102님 너무나도 시끄럽고 정신없고 녹록치 않은 가요광장 들어주셔서 감사드리고 텐며 들어주셔서 너무나도 감사드립니다. 노래 흐르네요. 아이고 BMK의 물들어 들려드리면서 우리는 이따 만나요."
AD,5129.11,5443.49,314.38,16,7,"SPEAKER_02,SPEAKER_08,SPEAKER_11,SPEAKER_13,SPEAKER_15,SPEAKER_19,SPEAKER_25","물이 얹은 너의 손 나는 잊을 수가 없어서 네 아픈 가슴을 너의 익숙함으로 다시 감싸줘야 해 나에게 너의 손이 닿으면 나는 점점 물들어 너의 색으로 너의 익숙함으로 나를 모두 버리고 물들어 너의 사랑 안에 나는 물들어 너의 사랑 안에 나는 이제 널 위해 변해가는 걸 이제 모두 버리고 손끝으로 파고 와 목을 스친 상처로 심장 안에 머물며 나는 이제 너에게 사업장이 여러 갠데 매출, 매입, 지출, 계좌 현황을 한눈에 쉽게 볼 수 없을까? 여러 사업자의 격리 업무도 이제 한 번에 쉽고 편하게 격리회계 프로그램 세계 미술사를 바꾼 인상파의 원화가 노원에 옵니다. 모네, 고흐, 세잔, 르누아르까지 빛과 색채의 혁명을 만든 거장들의 원화를 놓치지 마세요. 노원아트 뮤지엄에서 12월 19일부터 5월 31일까지 지금 인상파 찬란한 순간들을 검색하세요. 살면서 제가 2시를 기다려본 적이 없는데 파디 덕분에 그래도 매일매일 힘을 얻는 것 같습니다. 파디 이제 곧 52시니까 야! 2시가 기다려지는 라디오 안녕하세요 여러분 항상 유쾌한 텐션으로 하루를 밝혀준 우리 하하 유쾌한 텐션으로 하루를 밝히는 라디오 슈퍼라디오 이제부터 더 잘하고 아빠가 영원하면 좋겠어요 청취자 여러분과 영원히 함께하고 싶은 라디오 KBS 쿨 FM 하하의 슈퍼라디오와 함께해주세요 판총물 대박날까 불안하네 이윤지의 가을광장"
